cm,W2,W1,C,E1,E2
5,7,72,3,2,72
6,748660,752446,748751,753218,747627
7,748244,752366,748771,753804,748654
8,748244,752410,748898,754018,748956
9,748211,752413,748879,754178,749194
10,748298,752575,749108,754597,749712
11,748414,752715,749295,754902,750085
12,747942,752432,749238,755652,751250
13,747982,752626,749637,756880,752920
14,747928,752698,749925,758095,754845
15,747790,752803,750285,759419,757077
16,746887,751886,749476,759172,757618
