cm,W2,W1,C,E1,E2
5,142,294,13,0,0
6,750139,752942,758978,751316,746881
7,750191,753249,759480,752351,748999
8,749558,752817,759339,752833,749359
9,749267,752832,759630,753799,751135
10,748861,752740,759868,754792,753092
11,748277,752724,760436,756330,755661
12,747065,751796,759895,756376,756260
