cm,W2,W1,C,E1,E2
4,751659,751617,758056,752481,750970
5,751455,751604,758621,753211,751638
5.25,751488,751700,758792,753395,751804
5.5,751542,751856,759008,753605,751994
5.75,751644,752061,759252,753838,752185
6,751816,752339,759533,754074,752356
7,751636,752450,759642,754123,752492
8,751883,752834,759894,754563,753367
9,751862,752760,759747,754967,754760
10,751591,752525,759769,755981,757029
10.7,750480,751334,758842,755784,757657
