cm,W2,W1,C,E1,E2
4,754363,751035,755881,751587,750478
5,753628,750885,755723,751604,750985
5.25,753530,750912,755782,751718,751202
5.5,753441,750971,755871,751883,751480
5.75,753395,751091,756038,752106,751823
6,753413,751270,756247,752351,752153
7,752540,751125,756294,752823,753270
8,752128,751466,756915,753917,755146
9,751673,751698,757417,754929,756999
10,751175,751959,758135,756235,759186
10.7,750027,751143,757527,755961,759491
