cm,W2,W1,C,E1,E2
4,739345,751792,750023,751446,748255
5,748981,751604,749901,751953,749346
5.25,748961,751632,749929,752139,749573
5.5,748956,751790,750130,752689,750453
5.75,748961,751792,750131,752691,750455
6,749036,751941,750297,752995,750841
7,748442,751618,750169,753700,752079
8,748392,751716,750543,754956,753913
9,748247,751701,750800,756199,755962
10,748104,751738,751174,757559,758341
10.7,747140,750798,750352,757325,758926
