cm,W2,W1,C,E1,E2
5,4,0,0,2,2
6,745445,753389,751637,755306,752248
7,745654,754060,752595,756080,752827
8,745394,754170,752624,756122,752931
9,745563,754491,752799,756516,753849
10,745519,754427,752704,757061,755363
11,745197,754158,752799,758280,757968
12,744163,753057,751927,758071,758515
