cm,W2,W1,C,E1,E2
6,744320,752570,754699,750794,747760
7,743679,752482,754623,750908,748361
8,743612,752537,754710,751048,748596
9,743528,752622,754817,751231,748889
10,743615,752772,755013,751506,749288
11,743529,752975,755228,751779,749604
12,742686,752879,755349,752365,750741
13,742347,753240,755977,783512,752657
14,741940,753539,756592,754651,754591
15,741502,753890,757341,755957,756658
16,740383,753066,756723,755658,756869
